"","pilot_area","s_b","day_type","from","occupancy","rate","new_rate","03RD ST 400","03RD ST 300","02ND ST 500","03RD ST 500","BERRY ST 400","KING ST 100","BRYANT ST 500","HAWTHORNE ST 100","SOUTH PARK 100","TOWNSEND ST 0","BERRY ST 300","02ND ST 400","BRYANT ST 300","BRYANT ST 400","RITCH ST 300","SOUTH PARK 0","02ND ST 700","BRANNAN ST 200","TOWNSEND ST 200","BRANNAN ST 500","05TH ST 600","BRANNAN ST 300","BRANNAN ST 400","FOLSOM ST 600","03RD ST 700","MAIN ST 300","01ST ST 300","HARRISON ST 100","03RD ST 600","TOWNSEND ST 100","02ND ST 300","02ND ST 600","BERRY ST 200","HARRISON ST 500","SPEAR ST 300","BERRY ST 100","HARRISON ST 0","FOLSOM ST 500","FOLSOM ST 0","KING ST 200","TOWNSEND ST 300","04TH ST 500","04TH ST 600","SPEAR ST 400"
"677","South Embarcadero","05TH ST 600","Weekday","3:00 PM",78,"0.5","0.5","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"678","South Embarcadero","BRANNAN ST 300","Weekday","Open",78,"1.5","1.5","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"679","South Embarcadero","BRYANT ST 400","Weekday","12:00 PM",78,"2.5","2.5","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"680","South Embarcadero","HARRISON ST 100","Weekend","12:00 PM",78,"0.25","0.25","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"681","South Embarcadero","SOUTH PARK 100","Weekday","12:00 PM",78,"4","4","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"682","South Embarcadero","03RD ST 600","Weekday","3:00 PM",77,"2.5","2.5","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"683","South Embarcadero","BRYANT ST 300","Weekday","Open",77,"1.5","1.5","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"684","South Embarcadero","FOLSOM ST 600","Weekend","12:00 PM",77,"1.25","1.25","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"685","South Embarcadero","TOWNSEND ST 200","Weekday","6:00 PM",77,"0.25","0.25","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"686","South Embarcadero","TOWNSEND ST 300","Weekday","12:00 PM",77,"3","3","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"687","South Embarcadero","03RD ST 500","Weekday","Open",76,"1","1","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"688","South Embarcadero","BERRY ST 300","Weekday","12:00 PM",76,"2","2","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"689","South Embarcadero","SOUTH PARK 0","Weekday","3:00 PM",76,"4.25","4.25","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"690","South Embarcadero","03RD ST 300","Weekday","3:00 PM",75,"2.5","2.5","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"691","South Embarcadero","03RD ST 500","Weekday","3:00 PM",75,"1.75","1.75","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"692","South Embarcadero","03RD ST 600","Weekday","Open",75,"1.25","1.25","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"693","South Embarcadero","BRANNAN ST 300","Weekday","12:00 PM",75,"4.5","4.5","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"694","South Embarcadero","BRYANT ST 400","Weekday","Open",75,"1.25","1.25","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"695","South Embarcadero","BERRY ST 300","Weekday","3:00 PM",75,"0.5","0.5","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"696","South Embarcadero","FOLSOM ST 600","Weekend","3:00 PM",75,"1.5","1.5","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"697","South Embarcadero","HARRISON ST 100","Weekend","3:00 PM",75,"0.75","0.75","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"698","South Embarcadero","HARRISON ST 100","Weekend","6:00 PM",74,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"699","South Embarcadero","MAIN ST 300","Weekend","Open",74,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","3.25","2.75","0.25","0.25","0.25","0.75","0.75","0.75","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1.25","0.25","0.25","1.25","0.25","0.25","4.25","0.25","1","3.25","0.25","1.5","1.25","3","2.75","1","0.25","1"
"700","South Embarcadero","01ST ST 300","Weekend","12:00 PM",73,"1.5","1.5","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"701","South Embarcadero","03RD ST 700","Weekend","6:00 PM",73,"1","1","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"702","South Embarcadero","RITCH ST 300","Weekend","6:00 PM",73,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"703","South Embarcadero","03RD ST 700","Weekend","12:00 PM",72,"3.75","3.75","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"704","South Embarcadero","BRANNAN ST 400","Weekday","12:00 PM",72,"4.25","4.25","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"705","South Embarcadero","BERRY ST 200","Weekend","3:00 PM",72,"4.25","4.25","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"706","South Embarcadero","HARRISON ST 100","Weekend","Open",72,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","3.25","2.75","0.25","0.25","0.25","0.75","0.75","0.75","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1.25","0.25","0.25","1.25","0.25","0.25","4.25","0.25","1","3.25","0.25","1.5","1.25","3","2.75","1","0.25","1"
"707","South Embarcadero","TOWNSEND ST 200","Weekend","6:00 PM",72,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"708","South Embarcadero","02ND ST 300","Weekend","12:00 PM",71,"0.75","0.75","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"709","South Embarcadero","03RD ST 300","Weekday","Open",71,"0.25","0.25","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"710","South Embarcadero","BRANNAN ST 500","Weekend","12:00 PM",71,"0.25","0.25","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"711","South Embarcadero","SOUTH PARK 0","Weekend","12:00 PM",71,"3.75","3.75","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"712","South Embarcadero","03RD ST 700","Weekday","6:00 PM",70,"0.75","0.75","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"713","South Embarcadero","03RD ST 700","Weekend","3:00 PM",70,"4.5","4.5","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"714","South Embarcadero","BRANNAN ST 500","Weekday","6:00 PM",70,"0.25","0.25","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"715","South Embarcadero","BRYANT ST 400","Weekday","3:00 PM",70,"1","1","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"716","South Embarcadero","BRYANT ST 500","Weekday","3:00 PM",70,"1.25","1.25","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"717","South Embarcadero","BERRY ST 200","Weekend","6:00 PM",70,"0.75","0.75","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"718","South Embarcadero","HARRISON ST 100","Weekday","6:00 PM",70,"0.25","0.25","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"719","South Embarcadero","MAIN ST 300","Weekday","3:00 PM",70,"4.25","4.25","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"720","South Embarcadero","RITCH ST 300","Weekday","Open",70,"1.25","1.25","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"721","South Embarcadero","SOUTH PARK 100","Weekday","Open",70,"1","1","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"722","South Embarcadero","TOWNSEND ST 0","Weekend","6:00 PM",70,"0.5","0.5","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"723","South Embarcadero","02ND ST 500","Weekday","3:00 PM",69,"3","3","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"724","South Embarcadero","02ND ST 600","Weekday","12:00 PM",69,"4.25","4.25","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"725","South Embarcadero","BERRY ST 200","Weekend","12:00 PM",69,"4.25","4.25","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"726","South Embarcadero","BERRY ST 300","Weekend","6:00 PM",69,"0.75","0.75","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.5","0.75","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.25","0.5","0","1","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"727","South Embarcadero","HARRISON ST 0","Weekend","12:00 PM",69,"2.75","2.75","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"728","South Embarcadero","03RD ST 300","Weekend","12:00 PM",68,"0.75","0.75","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"729","South Embarcadero","BRANNAN ST 400","Weekend","12:00 PM",68,"0.5","0.5","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"730","South Embarcadero","BRYANT ST 300","Weekday","3:00 PM",68,"1.25","1.25","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"731","South Embarcadero","FOLSOM ST 600","Weekday","3:00 PM",68,"3.5","3.5","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
"732","South Embarcadero","HAWTHORNE ST 100","Weekend","12:00 PM",68,"0.25","0.25","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"733","South Embarcadero","HAWTHORNE ST 100","Weekend","3:00 PM",68,"0.25","0.25","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"734","South Embarcadero","TOWNSEND ST 200","Weekend","12:00 PM",68,"3.5","3.5","0.25","0.75","3","0.25","1.25","3.5","0.25","0.25","1.5","3","2.5","0.25","0.25","0.25","1.5","3.75","3.75","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.5","1.5","0.25","0.25","3.5","0.75","1.5","4.25","0.25","3","3.5","2.75","1.5","2.5","3.25","2.75","1.75","0.5","3"
"735","South Embarcadero","01ST ST 300","Weekend","3:00 PM",67,"3.25","3.25","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"736","South Embarcadero","BRANNAN ST 400","Weekday","Open",67,"1.25","1.25","0.25","0.25","0.75","1","0.5","2.25","1","3.75","1","1.75","0.75","0.25","1.5","1.25","1.25","3.25","2.25","2.25","2.25","0.75","1","1.5","1.25","3.75","3","1.5","4","2.25","1.25","2.75","4","2.25","4.25","1.75","4.75","4","1.75","4","4.5","3","2.75","1.75","0.75","2.75"
"737","South Embarcadero","BERRY ST 200","Weekday","12:00 PM",67,"4.25","4.25","0.5","1.75","3.75","2.25","0.5","5","2.5","3.25","4","4.25","2","3.5","2.5","2.5","2.25","4.75","4.25","3","3.5","2.25","1.75","4.5","4.25","4.25","4.75","2.25","3.5","4","3.25","4","5.75","4.25","4.25","2","5.75","4","3.25","3.25","5.75","3","3","1.75","1.75","3.75"
"738","South Embarcadero","BERRY ST 300","Weekday","6:00 PM",67,"0.5","0.5","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"739","South Embarcadero","BERRY ST 400","Weekday","6:00 PM",67,"0.25","0.25","0","0","0.25","0.25","0.25","0.5","0.25","0","0.25","0.5","0.5","0","0.25","0.25","0.25","0.25","0.75","0.25","0.25","0.25","0.25","0.5","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.5","0.25","0","0","0.25","0.25","0.25","0.25","0.5"
"740","South Embarcadero","FOLSOM ST 600","Weekend","Open",67,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","3.25","2.75","0.25","0.25","0.25","0.75","0.75","0.75","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1.25","0.25","0.25","1.25","0.25","0.25","4.25","0.25","1","3.25","0.25","1.5","1.25","3","2.75","1","0.25","1"
"741","South Embarcadero","SOUTH PARK 0","Weekend","3:00 PM",67,"3","3","0.25","1.25","2.25","0.25","2.25","3","0.25","0.25","0.75","3","4","0.25","0.25","0.25","1.5","3","3.5","0.25","4.5","0.25","0.25","0.25","1","1.5","4.5","1","3.25","0.75","0.25","3.5","0.75","0.75","4.25","0.5","2.75","3.5","1.5","1.5","1.75","3.25","2.75","1.75","1.25","2.75"
"742","South Embarcadero","SOUTH PARK 100","Weekday","3:00 PM",67,"2.25","2.25","0.5","2.5","3","1.75","0.75","4.25","1.25","2.25","2.25","3.25","0.5","3.25","1.25","1","1.75","4.25","1.75","1.75","3.25","1","0.5","3","3.5","3.5","3","4.25","1.75","3.25","2.5","3.25","5","3","4.25","0.5","5.75","4","3.75","3.25","4.75","3","2.75","1.75","1.25","3.75"
